env_id,model_label,seed,support_class,reliability_auc,catastrophe_prob_t0p5,cvar20
Walker2d-v5,klprho0p05,6,out_of_support,0.8141764713006161,0.18888888888888888,0.5853766345387037
Walker2d-v5,klprho0p05,6,related_physics,0.7032404394334908,0.3031746031746032,0.39942663510752396
Walker2d-v5,klprho0p05,7,direct_support,0.01694021283543825,1.0,-0.0011620628336594038
Walker2d-v5,klprho0p05,7,out_of_support,0.03449708765568223,1.0,0.011736285877605097
Walker2d-v5,klprho0p05,7,related_physics,0.035114153973573474,1.0,0.003299565583263856
Walker2d-v5,klprho0p05,8,direct_support,0.408987732744468,0.5523809523809524,0.0439863046270727
Walker2d-v5,klprho0p05,8,out_of_support,0.763532427270656,0.2074074074074074,0.531678300271605
Walker2d-v5,klprho0p05,8,related_physics,0.7083861854917535,0.2746031746031746,0.3678444552594688
Walker2d-v5,klprho0p05,9,direct_support,0.3840174112981818,0.6190476190476191,0.04461396302600533
Walker2d-v5,klprho0p05,9,out_of_support,0.6565759922215144,0.2185185185185185,0.446889309960797
Walker2d-v5,klprho0p05,9,related_physics,0.5695623156987409,0.33809523809523806,0.2893587419145891
Walker2d-v5,klprho0p05,10,direct_support,0.43248292090516305,0.6214285714285714,0.044026431948834543
Walker2d-v5,klprho0p05,10,out_of_support,0.7871615615258439,0.22592592592592592,0.5668518248354597
Walker2d-v5,klprho0p05,10,related_physics,0.7010546258608074,0.3560846560846561,0.37721239507303317
Walker2d-v5,klprho0p05,11,direct_support,0.41310122828816653,0.6190476190476191,0.034442049472652655
Walker2d-v5,klprho0p05,11,out_of_support,0.7740746536660567,0.21481481481481485,0.5358049048300214
Walker2d-v5,klprho0p05,11,related_physics,0.6650361961559685,0.31746031746031744,0.3598966626959335
Walker2d-v5,klprho0p05,12,direct_support,0.5060108218095,0.5142857142857142,0.026243296837317936
Walker2d-v5,klprho0p05,12,out_of_support,0.8508421637961051,0.14814814814814814,0.6621912766531459
Walker2d-v5,klprho0p05,12,related_physics,0.7928910238179575,0.22645502645502644,0.40794993876194996
Walker2d-v5,klprho0p05,13,direct_support,0.2054439436794625,0.861904761904762,0.03414966971998633
Walker2d-v5,klprho0p05,13,out_of_support,0.6002151645729707,0.2518518518518518,0.42433243345688987
Walker2d-v5,klprho0p05,13,related_physics,0.5216134150593457,0.44656084656084655,0.2736678229522474
Walker2d-v5,klprho0p05,14,direct_support,0.4834111512871938,0.4452380952380952,0.06258002017859025
Walker2d-v5,klprho0p05,14,out_of_support,0.6929697027804277,0.1851851851851852,0.4796662513193081
Walker2d-v5,klprho0p05,14,related_physics,0.6386186138450034,0.2619047619047619,0.3597002136079392
Walker2d-v5,klprho0p05,15,direct_support,0.47931652531779245,0.5857142857142856,0.04296743231050132
Walker2d-v5,klprho0p05,15,out_of_support,0.830034615870141,0.17037037037037037,0.6015304772433853
Walker2d-v5,klprho0p05,15,related_physics,0.7196920275820753,0.2947089947089947,0.37988440736310114
Walker2d-v5,klprho0p05,16,direct_support,0.4071636935996755,0.6214285714285714,0.05512863700787851
