env_id,model_label,seed,axis,support_class,reliability_auc,catastrophe_prob_t0p5,cvar20
Walker2d-v5,klprho0,26,leg_left_mass,related_physics,0.9278451841372746,0.0,0.7726587627854166
Walker2d-v5,klprho0,27,leg_left_mass,related_physics,0.9862887228183593,0.0,0.9771024424932387
Walker2d-v5,klprho0,28,leg_left_mass,related_physics,0.9830294138752901,0.0,0.9381857008272024
Walker2d-v5,klprho0,29,leg_left_mass,related_physics,1.0,0.0,1.0395873419099628
Walker2d-v5,klprho0,30,leg_left_mass,related_physics,0.9897200162574131,0.0,0.9534519378546854
Walker2d-v5,klprho0,31,leg_left_mass,related_physics,0.9540869735721583,0.0,0.9207285730436411
Walker2d-v5,klprho0,32,leg_left_mass,related_physics,0.9927686322674736,0.0,1.0080934885544925
Walker2d-v5,klprho0,33,leg_left_mass,related_physics,0.964468188174946,0.0,0.870305232703907
Walker2d-v5,klprho0,34,leg_left_mass,related_physics,0.9235919999883376,0.0,0.899766692353276
Walker2d-v5,klprho0,35,leg_left_mass,related_physics,1.0,0.0,1.2861865777243888
Walker2d-v5,klprho0,6,thigh_left_mass,related_physics,0.9994011863828318,0.0,1.005614182443536
Walker2d-v5,klprho0,7,thigh_left_mass,related_physics,0.9680187133935495,0.0,0.8592880964823136
Walker2d-v5,klprho0,8,thigh_left_mass,related_physics,1.0,0.0,1.0842239754228915
Walker2d-v5,klprho0,9,thigh_left_mass,related_physics,0.9666296987464931,0.0,0.9269627910234567
Walker2d-v5,klprho0,10,thigh_left_mass,related_physics,0.6245952613755807,0.42857142857142855,0.34996157446552506
Walker2d-v5,klprho0,11,thigh_left_mass,related_physics,0.9706102765027743,0.0,0.9101914460030428
Walker2d-v5,klprho0,12,thigh_left_mass,related_physics,1.0,0.0,1.3285261416363412
Walker2d-v5,klprho0,13,thigh_left_mass,related_physics,0.9634559567410889,0.0,0.8360073061540619
Walker2d-v5,klprho0,14,thigh_left_mass,related_physics,0.979182126889491,0.0,0.9148023264094327
Walker2d-v5,klprho0,15,thigh_left_mass,related_physics,1.0,0.0,1.1366818891957198
Walker2d-v5,klprho0,16,thigh_left_mass,related_physics,0.991018848011714,0.0,0.984806417884818
Walker2d-v5,klprho0,17,thigh_left_mass,related_physics,0.9883451185937597,0.0,0.9456105534375457
Walker2d-v5,klprho0,18,thigh_left_mass,related_physics,0.8702424875788418,0.07142857142857142,0.6226596672865362
Walker2d-v5,klprho0,19,thigh_left_mass,related_physics,0.9428587532974859,0.0,0.9170789114710579
Walker2d-v5,klprho0,20,thigh_left_mass,related_physics,0.9939975986619836,0.0,0.9780682143010836
Walker2d-v5,klprho0,21,thigh_left_mass,related_physics,0.9050754369479949,0.0,0.6316523454481366
Walker2d-v5,klprho0,22,thigh_left_mass,related_physics,0.9792505971166899,0.0,0.9342479489444822
Walker2d-v5,klprho0,23,thigh_left_mass,related_physics,0.9906868248232172,0.0,0.9770505237566592
Walker2d-v5,klprho0,24,thigh_left_mass,related_physics,0.855783918954673,0.0,0.7658542252837958
Walker2d-v5,klprho0,25,thigh_left_mass,related_physics,0.855688836023953,0.07142857142857142,0.5799766923425757
Walker2d-v5,klprho0,26,thigh_left_mass,related_physics,0.8829999363596714,0.0,0.5664876638978379
Walker2d-v5,klprho0,27,thigh_left_mass,related_physics,0.8976714798568155,0.07142857142857142,0.692751853635432
Walker2d-v5,klprho0,28,thigh_left_mass,related_physics,0.9758397637859988,0.0,0.8916160400970009
Walker2d-v5,klprho0,29,thigh_left_mass,related_physics,0.8906832679883164,0.07142857142857142,0.5579608734087852
Walker2d-v5,klprho0,30,thigh_left_mass,related_physics,0.9932541902464928,0.0,0.971816920719944
Walker2d-v5,klprho0,31,thigh_left_mass,related_physics,0.8511199710712931,0.0,0.7472003701453058
Walker2d-v5,klprho0,32,thigh_left_mass,related_physics,0.9988358078192962,0.0,1.0067175588301256
Walker2d-v5,klprho0,33,thigh_left_mass,related_physics,0.9609039908612507,0.0,0.8892825177803152
Walker2d-v5,klprho0,34,thigh_left_mass,related_physics,0.8116828526241988,0.07142857142857142,0.5408741933887412
Walker2d-v5,klprho0,35,thigh_left_mass,related_physics,0.9944112342718372,0.0,1.0089348708039232
Walker2d-v5,klprho0p05,6,foot_left_mass,related_physics,0.9598196567416919,0.0,0.8515135445573675
Walker2d-v5,klprho0p05,7,foot_left_mass,related_physics,0.034266636835977714,1.0,0.0030169199812916238
Walker2d-v5,klprho0p05,8,foot_left_mass,related_physics,0.6851564598682162,0.35714285714285715,0.19090935217751673
