env_id,axis,model_label,n_seeds,n_factors,seed_main_variance,perturbation_main_variance,seed_perturbation_interaction_variance,total_decomposed_variance,seed_fraction,perturbation_fraction,interaction_fraction
Walker2d-v5,foot_left_damping,tvc300,30,15,0.0060774331085432275,2.5672904699135608e-05,0.0008939997897018697,0.006997105802944233,0.8685638433516288,0.0036690748178101005,0.1277670818305611
Walker2d-v5,foot_left_damping,tvc400,30,15,0.029519538615461135,5.975319895548617e-06,0.00021462538125376564,0.02974013931661045,0.9925823918038573,0.00020091768340208427,0.007216690512740577
Walker2d-v5,foot_left_damping,tvc500,30,15,0.044054407840149905,2.1347280745713167e-05,0.00043699144534588145,0.044512746566241504,0.9897032027576748,0.00047957680422944194,0.009817220438095726
Walker2d-v5,foot_left_damping,vanilla,30,15,0.027994768153860223,9.981825651214066e-06,0.0003191789532520908,0.028323928932763528,0.9883787034035892,0.0003524167030255344,0.011268879893385219
Walker2d-v5,foot_left_friction,tvc100,30,15,0.00046873085777999736,4.672237374761725e-05,0.00010583203594714687,0.0006212852674747615,0.7544535213029796,0.07520277108376026,0.17034370761326012
Walker2d-v5,foot_left_friction,tvc150,30,15,0.002537728401390436,0.00024195374859682338,0.0004946118702209365,0.003274294020208196,0.7750459750187843,0.07389493646677422,0.15105908851444153
Walker2d-v5,foot_left_friction,tvc200,30,15,0.013323229248832693,0.0017732080056389941,0.003674305390295796,0.018770742644767482,0.7097870074174538,0.09446658766765907,0.19574640491488718
Walker2d-v5,foot_left_friction,tvc225,30,15,0.029600030372892418,0.00217855802914683,0.006116578234603991,0.03789516663664324,0.7811030535031418,0.05748907373955823,0.16140787275729995
Walker2d-v5,foot_left_friction,tvc250,30,15,0.031628581948141964,0.0071709288050866345,0.014459881149862781,0.05325939190309138,0.5938592390557527,0.1346415824299039,0.27149917851434335
Walker2d-v5,foot_left_friction,tvc275,30,15,0.03882053012655608,0.012036223868216945,0.013750860389896633,0.06460761438466965,0.6008661749282538,0.18629729611364426,0.21283652895810204
Walker2d-v5,foot_left_friction,tvc300,30,15,0.011221397850339413,0.013122386567929627,0.013980105635474112,0.03832389005374315,0.29280424911466946,0.34240747871699795,0.36478827216833265
Walker2d-v5,foot_left_friction,tvc400,30,15,0.038375282894474665,0.01607666343290545,0.014953788868989142,0.06940573519636925,0.5529122742652275,0.23163306875750017,0.21545465697727245
Walker2d-v5,foot_left_friction,tvc500,30,15,0.046555210052872636,0.020497706471460916,0.015160607590079454,0.082213524114413,0.5662719188157385,0.24932280536879972,0.18440527581546184
Walker2d-v5,foot_left_friction,vanilla,30,15,0.03358643241995814,0.01724643625354835,0.013785107778974143,0.06461797645248063,0.5197691766881193,0.2668984267285311,0.2133323965833496
Walker2d-v5,foot_left_mass,tvc100,30,14,0.0002706029561631578,0.00012950203725331386,0.00041493028584664007,0.0008150352792631117,0.33201379504432604,0.15889132722009164,0.5090948777355824
Walker2d-v5,foot_left_mass,tvc150,30,14,0.0029997792286794345,9.9077229533428e-05,0.0006310082114225941,0.0037298646696354563,0.804259536036363,0.026563223684764804,0.16917724027887227
Walker2d-v5,foot_left_mass,tvc200,30,14,0.016451372548878983,0.00041000993482126675,0.004068861148003903,0.020930243631704155,0.786009605925428,0.019589353188426476,0.19440104088614538
Walker2d-v5,foot_left_mass,tvc225,30,14,0.0270011341125724,0.0021775517754956063,0.006991590405234204,0.03617027629330221,0.7465006320002123,0.06020279629157359,0.19329657170821402
Walker2d-v5,foot_left_mass,tvc250,30,14,0.033221682318874096,0.003946193774709181,0.011398733644492072,0.04856660973807535,0.6840436772927325,0.08125322718615535,0.2347030955211121
Walker2d-v5,foot_left_mass,tvc275,30,14,0.02957605275033948,0.006475857835359693,0.011722601855003578,0.04777451244070276,0.6190759725083324,0.1355504746049991,0.24537355288666846
Walker2d-v5,foot_left_mass,tvc300,30,14,0.0067335730955209346,0.005794640923060343,0.009893222107994334,0.022421436126575614,0.3003185459445118,0.2584420056925831,0.441239448362905
Walker2d-v5,foot_left_mass,tvc400,30,14,0.031732241602302785,0.00962090813971668,0.014013687235541824,0.05536683697756129,0.5731272244279192,0.1737666203257336,0.25310615524634716
Walker2d-v5,foot_left_mass,tvc500,30,14,0.03656809340921943,0.010010256103107231,0.016221850026534305,0.06280019953886097,0.5822926308791578,0.15939847606555538,0.2583088930552867
Walker2d-v5,foot_left_mass,vanilla,30,14,0.029721394407444257,0.013045386422680652,0.01596407440139084,0.05873085523151575,0.5060609843034495,0.22212151298080068,0.2718175027157498
Walker2d-v5,friction,tvc100,30,15,0.0003631232269982469,0.0005910793172154643,0.0002467300470700853,0.0012009325912837965,0.3023677012629562,0.49218359257250294,0.20544870616454083
Walker2d-v5,friction,tvc150,30,15,0.00127214253933812,0.0026326625008855336,0.001346351029813247,0.0052511560700369,0.24225951816533622,0.5013491249874494,0.2563913568472144
Walker2d-v5,friction,tvc200,30,15,0.00829214203054649,0.011515375294864365,0.006369789606828223,0.02617730693223908,0.31676833877568095,0.43989915863661366,0.24333250258770536
Walker2d-v5,friction,tvc225,30,15,0.016077863597902902,0.02158382349913002,0.01078065278605805,0.048442339883090976,0.3318969239864269,0.4455569972718009,0.22254607874177207
Walker2d-v5,friction,tvc250,30,15,0.021564505532938295,0.04916303828496993,0.024993163049543365,0.09572070686745159,0.2252856904076101,0.5136092272390761,0.26110508235331387
Walker2d-v5,friction,tvc275,30,15,0.02274385643964707,0.05970298243783639,0.031316826620727704,0.11376366549821115,0.1999219728025087,0.5247983367657503,0.27527969043174105
Walker2d-v5,friction,tvc300,30,15,0.008773376031747212,0.08050856582974471,0.027020929904139505,0.11630287176563142,0.07543559241965189,0.6922319682009411,0.23233243937940698
Walker2d-v5,friction,tvc400,30,15,0.027804662245134316,0.10981992208124174,0.02918231715945396,0.16680690148583002,0.1666877209363923,0.6583655778209558,0.17494670124265183
Walker2d-v5,friction,tvc500,30,15,0.025748136272561076,0.0944546778740442,0.032847080640169696,0.15304989478677497,0.1682336097547319,0.6171495773037671,0.214616812941501
Walker2d-v5,friction,vanilla,30,15,0.0234159263186491,0.1098671448018387,0.028598298501175404,0.16188136962166322,0.14464867929753136,0.6786892466910295,0.17666207401143916
Walker2d-v5,friction_damping,tvc100,30,15,0.0003940545165740925,0.0006105959610855268,0.00026276295603301007,0.0012674134336926293,0.3109123716844379,0.48176541675635054,0.20732221155921157
Walker2d-v5,friction_damping,tvc150,30,15,0.0012909281912220046,0.0027021975884735346,0.0013215587780634741,0.0053146845577590135,0.24289836531076014,0.5084398818230035,0.2486617528662363
Walker2d-v5,friction_damping,tvc200,30,15,0.008853289666253863,0.011535995773944992,0.006520749449605452,0.02691003488980431,0.3289958449518103,0.4286875071394187,0.24231664790877092
Walker2d-v5,friction_damping,tvc225,30,15,0.015546452363347311,0.02169875716739712,0.010771128981865058,0.04801633851260949,0.3237742161298843,0.45190361946692054,0.22432216440319516
Walker2d-v5,friction_damping,tvc250,30,15,0.019648633118952284,0.0503265235083459,0.024674771149482883,0.09464992777678106,0.2075926900366042,0.5317122230355436,0.2606950869278523
Walker2d-v5,friction_damping,tvc275,30,15,0.022590607490073644,0.06093131610386234,0.03162350974669911,0.1151454333406351,0.19619195338163156,0.5291683251007362,0.2746397215176323
Walker2d-v5,friction_damping,tvc300,30,15,0.008940610855613826,0.08094519198409814,0.026967800305238817,0.11685360314495079,0.07651121244865224,0.6927059996916813,0.23078278785966633
Walker2d-v5,friction_damping,tvc400,30,15,0.02767604059386478,0.10912201688173355,0.02889467186891903,0.16569272934451737,0.16703231761195295,0.6585805986383452,0.17438708374970185
Walker2d-v5,friction_damping,tvc500,30,15,0.025037990016384307,0.09331149702480165,0.03384694904827143,0.15219643608945738,0.1645110139219527,0.6130990936604811,0.2223898924175663
Walker2d-v5,friction_damping,vanilla,30,15,0.023145895923363753,0.10838532201728952,0.028096727963465233,0.15962794590411852,0.14499902126953682,0.678987137267254,0.1760138414632091
Walker2d-v5,friction_mass,tvc100,30,14,0.00024152023762245853,0.0014103676705550198,0.0003121678708788677,0.001964055779056346,0.12297015196711969,0.7180894176196195,0.1589404304132607
Walker2d-v5,friction_mass,tvc150,30,14,0.001172591379925557,0.004934990498242578,0.00191670188538021,0.008024283763548344,0.146130348138017,0.6150069767797346,0.23886267508224845
Walker2d-v5,friction_mass,tvc200,30,14,0.003749101079529,0.025435288270354205,0.006913523595760982,0.036097912945644184,0.10385921992704544,0.7046193587051519,0.19152142136780276
