env_id,axis,stress_factor,seed,best_model,best_return,vanilla_return,best_minus_vanilla,num_models_above_vanilla
Walker2d-v5,action_noise,0.5,24,tvc275,1016.3792211705868,621.6323909384249,394.74683023216187,6
Walker2d-v5,action_noise,0.5,25,tvc300,3563.7531492523767,631.4826726451953,2932.2704766071815,4
Walker2d-v5,action_noise,0.5,26,tvc300,3387.6605603261014,1738.9748014150773,1648.685758911024,2
Walker2d-v5,action_noise,0.5,27,tvc400,3681.13080397212,3591.7365377198803,89.3942662522395,1
Walker2d-v5,action_noise,0.5,28,tvc300,1309.602554568087,1246.4946447063935,63.10790986169354,1
Walker2d-v5,action_noise,0.5,29,vanilla,3033.547849326232,3033.547849326232,0.0,0
Walker2d-v5,action_noise,0.5,30,tvc275,3271.2681493846203,1512.388448630334,1758.8797007542862,4
Walker2d-v5,action_replace,0.5,1,tvc100,303.703665766434,142.06354403292465,161.64012173350937,7
Walker2d-v5,action_replace,0.5,2,tvc100,291.8399591437001,142.345517617565,149.49444152613512,6
Walker2d-v5,action_replace,0.5,3,tvc100,287.26682528494285,130.34896863212558,156.91785665281728,7
Walker2d-v5,action_replace,0.5,4,tvc100,277.66316776426663,277.60807483890363,0.05509292536299881,1
Walker2d-v5,action_replace,0.5,5,tvc100,303.3475648394719,161.1572631547288,142.19030168474308,4
Walker2d-v5,action_replace,0.5,6,tvc100,333.8730142061102,140.93242692329108,192.94058728281914,4
Walker2d-v5,action_replace,0.5,7,tvc400,316.0079209930469,251.7310781685864,64.27684282446052,3
Walker2d-v5,action_replace,0.5,8,tvc100,311.68294189897745,144.15667310906787,167.52626878990958,8
Walker2d-v5,action_replace,0.5,9,tvc100,270.8002550353182,101.41191901280368,169.3883360225145,9
Walker2d-v5,action_replace,0.5,10,vanilla,277.0194720753151,277.0194720753151,0.0,0
Walker2d-v5,action_replace,0.5,11,tvc100,300.52259411530537,184.74020350352228,115.78239061178309,3
Walker2d-v5,action_replace,0.5,12,tvc100,373.9664042516023,152.08318510832083,221.88321914328145,5
Walker2d-v5,action_replace,0.5,13,tvc100,314.8012739324639,153.80258819950933,160.99868573295458,5
Walker2d-v5,action_replace,0.5,14,tvc100,293.57426394899,233.14755574015763,60.426708208832366,2
Walker2d-v5,action_replace,0.5,15,tvc100,357.6613281085043,188.0682548250365,169.5930732834678,2
Walker2d-v5,action_replace,0.5,16,tvc275,499.5084471201338,180.44469303209152,319.0637540880423,4
Walker2d-v5,action_replace,0.5,17,tvc100,305.8340001578664,131.09540545016156,174.73859470770483,5
Walker2d-v5,action_replace,0.5,18,tvc100,318.2648129115008,122.4252214445203,195.83959146698052,8
Walker2d-v5,action_replace,0.5,19,tvc100,319.5202651064784,204.0472968974388,115.4729682090396,1
Walker2d-v5,action_replace,0.5,20,tvc100,230.47280353503132,172.71639408631552,57.7564094487158,5
Walker2d-v5,action_replace,0.5,21,tvc100,300.57605862859896,176.86907687935863,123.70698174924033,5
Walker2d-v5,action_replace,0.5,22,tvc100,282.6798217873521,129.00485687806946,153.67496490928266,8
Walker2d-v5,action_replace,0.5,23,tvc100,341.8617010346164,156.46292249578545,185.39877853883092,7
Walker2d-v5,action_replace,0.5,24,tvc100,302.1035524090664,144.26373698774862,157.8398154213178,5
Walker2d-v5,action_replace,0.5,25,tvc275,303.38344693054114,197.0105299846276,106.37291694591354,3
Walker2d-v5,action_replace,0.5,26,vanilla,288.5985123061197,288.5985123061197,0.0,0
Walker2d-v5,action_replace,0.5,27,tvc100,308.5801082806522,101.3629156158053,207.2171926648469,9
Walker2d-v5,action_replace,0.5,28,tvc100,289.6806138462601,161.3642389253875,128.3163749208726,4
Walker2d-v5,action_replace,0.5,29,tvc225,284.7422805575744,249.14920191206656,35.59307864550786,3
Walker2d-v5,action_replace,0.5,30,vanilla,307.4293014647058,307.4293014647058,0.0,0
Walker2d-v5,actuator_gain,0.5,1,tvc100,436.9538816303907,359.64662049395184,77.30726113643885,2
Walker2d-v5,actuator_gain,0.5,2,vanilla,450.283827027005,450.283827027005,0.0,0
Walker2d-v5,actuator_gain,0.5,3,tvc100,415.5354510252809,400.3175879000632,15.217863125217718,1
Walker2d-v5,actuator_gain,0.5,4,tvc100,318.0779328180462,314.5882083382789,3.4897244797672897,1
Walker2d-v5,actuator_gain,0.5,5,tvc100,581.8449737972692,496.5355743252591,85.30939947201006,1
Walker2d-v5,actuator_gain,0.5,6,tvc100,380.49766771124735,268.693413031863,111.80425467938437,5
Walker2d-v5,actuator_gain,0.5,7,tvc300,435.7156370080282,221.71169559247227,214.00394141555591,9
Walker2d-v5,actuator_gain,0.5,8,tvc250,374.5215810262333,304.8627420453573,69.658838980876,6
Walker2d-v5,actuator_gain,0.5,9,tvc225,414.4399425016321,239.4126390190123,175.02730348261983,8
Walker2d-v5,actuator_gain,0.5,10,tvc300,444.4965543927935,344.20841626220096,100.28813813059253,4
Walker2d-v5,actuator_gain,0.5,11,vanilla,645.1717664147993,645.1717664147993,0.0,0
Walker2d-v5,actuator_gain,0.5,12,tvc400,354.683390227615,336.76128969926344,17.922100528351564,2
Walker2d-v5,actuator_gain,0.5,13,tvc100,462.05124356202,310.0704242347174,151.98081932730258,6
Walker2d-v5,actuator_gain,0.5,14,tvc275,396.2496876023462,267.12730543703367,129.12238216531256,9
Walker2d-v5,actuator_gain,0.5,15,tvc150,341.0349270167512,285.8203312475729,55.214595769178345,4
Walker2d-v5,actuator_gain,0.5,16,tvc275,870.5933940957526,348.00361861869135,522.5897754770613,2
Walker2d-v5,actuator_gain,0.5,17,tvc500,337.96892409913966,282.6860628911935,55.282861207946155,8
Walker2d-v5,actuator_gain,0.5,18,tvc100,426.764216499304,3.5467638046671808,423.2174526946368,9
Walker2d-v5,actuator_gain,0.5,19,tvc100,410.5465060302316,298.7136554353441,111.83285059488753,7
Walker2d-v5,actuator_gain,0.5,20,vanilla,649.7062526984414,649.7062526984414,0.0,0
Walker2d-v5,actuator_gain,0.5,21,tvc150,405.8519469944741,292.40443023627483,113.44751675819924,6
Walker2d-v5,actuator_gain,0.5,22,tvc100,393.552271579502,371.281902304031,22.270369275471012,2
Walker2d-v5,actuator_gain,0.5,23,tvc300,415.4319893471616,404.85680311936073,10.575186227800884,1
Walker2d-v5,actuator_gain,0.5,24,vanilla,456.96083439908506,456.96083439908506,0.0,0
Walker2d-v5,actuator_gain,0.5,25,tvc300,1664.7605204111685,296.1359945655822,1368.6245258455863,3
Walker2d-v5,actuator_gain,0.5,26,vanilla,419.54493109017295,419.54493109017295,0.0,0
Walker2d-v5,actuator_gain,0.5,27,tvc100,415.4105145632648,290.4098359439246,125.00067861934025,6
Walker2d-v5,actuator_gain,0.5,28,tvc100,345.2198794745335,307.49381847096106,37.726061003572454,1
Walker2d-v5,actuator_gain,0.5,29,tvc200,378.6494189312067,375.8800085317848,2.769410399421872,1
Walker2d-v5,actuator_gain,0.5,30,tvc300,394.643464240089,384.6452771282389,9.998187111850086,2
Walker2d-v5,damping,0.5,1,vanilla,4067.099040991736,4067.099040991736,0.0,0
Walker2d-v5,damping,0.5,2,vanilla,3652.4523019977446,3652.4523019977446,0.0,0
Walker2d-v5,damping,0.5,3,vanilla,3996.606885767119,3996.606885767119,0.0,0
Walker2d-v5,damping,0.5,4,tvc400,3681.453679558868,3679.336492892057,2.117186666810994,2
Walker2d-v5,damping,0.5,5,tvc300,3546.0877868147923,2743.875637510986,802.2121493038062,5
Walker2d-v5,damping,0.5,6,tvc400,4255.328688398878,4251.763815930856,3.564872468021349,2
Walker2d-v5,damping,0.5,7,tvc400,4523.311240904124,3962.730828944635,560.5804119594891,1
Walker2d-v5,damping,0.5,8,vanilla,4461.883146056235,4461.883146056235,0.0,0
Walker2d-v5,damping,0.5,9,vanilla,4220.305348406259,4220.305348406259,0.0,0
Walker2d-v5,damping,0.5,10,vanilla,4467.685491690415,4467.685491690415,0.0,0
Walker2d-v5,damping,0.5,11,tvc500,4594.802509914063,4215.696686615192,379.10582329887075,2
Walker2d-v5,damping,0.5,12,tvc400,3971.648054209049,3968.357213757334,3.2908404517147574,2
Walker2d-v5,damping,0.5,13,tvc500,4769.260184260196,4640.726080636146,128.53410362404975,1
