model_label,seed,cap,event_path,final__eval/episodic_return,max__eval/episodic_return,mean__eval/episodic_return,first_step__eval/episodic_return__ge_0p01,final__losses/qf1_values,max__losses/qf1_values,mean__losses/qf1_values,first_step__losses/qf1_values__ge_0p01,final__losses/qf2_values,max__losses/qf2_values,mean__losses/qf2_values,first_step__losses/qf2_values__ge_0p01,final__losses/qf_loss,max__losses/qf_loss,mean__losses/qf_loss,first_step__losses/qf_loss__ge_0p01,final__losses/actor_loss,max__losses/actor_loss,mean__losses/actor_loss,first_step__losses/actor_loss__ge_0p01,final__targets/min_q_next_mean_pre_clip,max__targets/min_q_next_mean_pre_clip,mean__targets/min_q_next_mean_pre_clip,first_step__targets/min_q_next_mean_pre_clip__ge_0p01,final__targets/min_q_next_p95_pre_clip,max__targets/min_q_next_p95_pre_clip,mean__targets/min_q_next_p95_pre_clip,first_step__targets/min_q_next_p95_pre_clip__ge_0p01,final__targets/min_q_next_p99_pre_clip,max__targets/min_q_next_p99_pre_clip,mean__targets/min_q_next_p99_pre_clip,first_step__targets/min_q_next_p99_pre_clip__ge_0p01,final__targets/min_q_next_mean_post_clip,max__targets/min_q_next_mean_post_clip,mean__targets/min_q_next_mean_post_clip,first_step__targets/min_q_next_mean_post_clip__ge_0p01,final__targets/td_target_mean,max__targets/td_target_mean,mean__targets/td_target_mean,first_step__targets/td_target_mean__ge_0p01,final__robust/td3_q_target_clip_fraction,max__robust/td3_q_target_clip_fraction,mean__robust/td3_q_target_clip_fraction,first_step__robust/td3_q_target_clip_fraction__ge_0p01,final__robust/td3_q_target_excess_mean,max__robust/td3_q_target_excess_mean,mean__robust/td3_q_target_excess_mean,first_step__robust/td3_q_target_excess_mean__ge_0p01,final__charts/SPS,max__charts/SPS,mean__charts/SPS,first_step__charts/SPS__ge_0p01,max_step,training_return_auc,final_q_p95_over_cap,cap_active_final,cap_active_ever
tvc150,30,150.0,/home/users/am1015/rl_runs_td3_tvcap_20260710_td3_tvcap_full30/Walker2d-v4__td3_tvcap_tvc150__30__1783922148/events.out.tfevents.1783922150.linux47.913238.0,415.46466064453125,444.0549621582031,418.78538513183594,0.0,129.42178344726562,135.29054260253906,118.41609546946069,25100.0,129.37823486328125,134.80299377441406,118.42214367676635,25100.0,36.15026092529297,150.11924743652344,32.977626333702716,25100.0,-131.5289306640625,-0.47185587882995605,-120.9505637178043,,129.50567626953125,134.42279052734375,118.7529549609163,25300.0,151.6145477294922,152.89207458496094,146.42990980082956,25100.0,152.82272338867188,164.40631103515625,148.66420888684019,25100.0,129.22105407714844,134.15383911132812,118.57216115488465,25300.0,129.4713897705078,134.82711791992188,118.42984856462458,25100.0,0.22265625,0.3046875,0.13594944032721304,86200.0,0.25579148530960083,0.7990543842315674,0.1807937679602337,81400.0,49.0,2432.0,56.92276130885219,25100.0,999900,,1.0107636515299478,1.0,1.0
tvc200,1,200.0,/home/users/am1015/rl_runs_td3_tvcap_20260710_td3_tvcap_full30/Walker2d-v4__td3_tvcap_tvc200__1__1783618095/events.out.tfevents.1783618098.gpu-compute5.1697184.0,,,,,165.81369018554688,174.0032958984375,137.86699161919898,25300.0,165.79507446289062,174.3502197265625,137.86749776143034,25300.0,39.45398712158203,225.5048370361328,44.04653250410998,25100.0,-168.2088623046875,-0.493149995803833,-140.6202471117837,,165.7723388671875,173.74050903320312,138.18491482890929,25400.0,201.4863739013672,202.3062286376953,175.71311514532192,25100.0,202.6851348876953,205.32781982421875,182.58291498173847,25100.0,165.6092071533203,173.56069946289062,138.11758291321226,25400.0,165.80430603027344,173.98146057128906,137.88214281588603,25300.0,0.140625,0.234375,0.04700682441788902,334100.0,0.18569010496139526,0.5507909655570984,0.0673319211995642,258700.0,46.0,2419.0,53.23151092419735,25100.0,999900,,1.0074318695068358,1.0,1.0
tvc200,2,200.0,/home/users/am1015/rl_runs_td3_tvcap_20260710_td3_tvcap_full30/Walker2d-v4__td3_tvcap_tvc200__2__1783618095/events.out.tfevents.1783618098.gpu-compute5.1697185.0,,,,,159.1082305908203,167.47816467285156,130.71242200485855,25400.0,159.18341064453125,167.43313598632812,130.70970359393183,25400.0,54.652801513671875,199.4303436279297,50.64353356283765,25100.0,-161.82406616210938,-0.2705549895763397,-133.5383196733911,,159.16644287109375,166.67713928222656,131.08282917682055,25500.0,200.38009643554688,202.15444946289062,168.33760667962486,25100.0,202.4838409423828,205.95196533203125,173.79769918123478,25100.0,159.0690460205078,166.51148986816406,131.05276429436466,25500.0,159.17208862304688,166.98423767089844,130.72251538946597,25400.0,0.0625,0.125,0.01566506821212432,490700.0,0.09789282083511353,0.44396430253982544,0.030064878328994234,187000.0,45.0,2412.0,52.58323930659555,25100.0,999900,,1.0019004821777344,1.0,1.0
tvc200,3,200.0,/home/users/am1015/rl_runs_td3_tvcap_20260710_td3_tvcap_full30/Walker2d-v4__td3_tvcap_tvc200__3__1783618095/events.out.tfevents.1783618098.gpu-compute5.1697183.0,,,,,159.93283081054688,169.9839324951172,133.40268622014256,25100.0,159.92811584472656,170.21841430664062,133.4079196897694,25400.0,43.908058166503906,155.32144165039062,41.58066731725866,25100.0,-162.723876953125,-0.421061635017395,-136.33473428057601,,159.84861755371094,169.7082977294922,133.72800984382377,25400.0,200.8087615966797,202.32168579101562,176.62963529225144,25100.0,202.84458923339844,207.054931640625,184.22469092058438,25100.0,159.71160888671875,169.57814025878906,133.68459681013147,25400.0,159.87472534179688,169.90924072265625,133.4065422105895,25300.0,0.07421875,0.12890625,0.021840381064724586,269800.0,0.1243550181388855,0.5238334536552429,0.04341304391478866,178600.0,45.0,2457.0,53.101036003692684,25100.0,999900,,1.0040438079833984,1.0,1.0
tvc200,4,200.0,/home/users/am1015/rl_runs_td3_tvcap_20260710_td3_tvcap_full30/Walker2d-v4__td3_tvcap_tvc200__4__1783618095/events.out.tfevents.1783618099.compsci-cluster-fitz-11.890912.0,,,,,142.31524658203125,150.34254455566406,124.10195324232414,25300.0,142.31158447265625,150.48651123046875,124.09624130712035,25300.0,48.39326477050781,168.83314514160156,44.257083201298485,25100.0,-144.76190185546875,-0.4758984446525574,-126.65285141401529,,142.27188110351562,150.3543243408203,124.32653290927463,25400.0,182.58489990234375,188.36270141601562,157.83468273053236,25100.0,189.0776824951172,200.14117431640625,162.2331222172795,25100.0,142.26394653320312,150.3543243408203,124.32333896565501,25400.0,142.30299377441406,150.65611267089844,124.10636718789472,25300.0,0.0,0.01171875,0.00028448430608267515,771900.0,0.0,0.4872550368309021,0.00319393441204854,81200.0,45.0,2902.0,53.99487126884809,25100.0,999900,,0.9129244995117187,0.0,1.0
tvc200,5,200.0,/home/users/am1015/rl_runs_td3_tvcap_20260710_td3_tvcap_full30/Walker2d-v4__td3_tvcap_tvc200__5__1783618095/events.out.tfevents.1783618100.compsci-cluster-fitz-11.890921.0,,,,,158.10708618164062,166.22023010253906,137.63399297040857,25100.0,158.174072265625,166.36776733398438,137.63129179183872,25100.0,54.29173278808594,220.79379272460938,45.31336462378566,25100.0,-160.458984375,-0.4892343282699585,-140.45002829797428,,158.2132110595703,164.99630737304688,138.0643480225257,25100.0,197.08096313476562,199.806640625,176.21224343124348,25100.0,200.40585327148438,204.189453125,181.5864766428337,25100.0,158.16693115234375,164.98626708984375,138.0491237735142,25100.0,158.21063232421875,165.539794921875,137.63901487490355,25100.0,0.015625,0.046875,0.007062022386911478,385600.0,0.021325111389160156,0.5908800959587097,0.015224204618315267,136600.0,45.0,2902.0,52.94348138270592,25100.0,999900,,0.9854048156738281,1.0,1.0
tvc200,6,200.0,/home/users/am1015/rl_runs_td3_tvcap_20260710_td3_tvcap_full30/Walker2d-v4__td3_tvcap_tvc200__6__1783938833/events.out.tfevents.1783938836.linux59.449789.0,572.69970703125,613.9749755859375,573.5157958984375,0.0,139.36859130859375,147.04788208007812,119.33660923028172,25200.0,139.4054718017578,146.97178649902344,119.34268507382161,25200.0,27.578277587890625,188.92855834960938,30.170545806061465,25100.0,-141.43588256835938,-0.37972313165664673,-121.7238715208363,,139.41799926757812,146.65887451171875,119.66506379253204,25300.0,171.79022216796875,174.1976776123047,147.41900734594083,25100.0,174.2228240966797,183.7301025390625,150.35151742963208,25100.0,139.38418579101562,146.65887451171875,119.66312596075473,25300.0,139.40216064453125,146.41921997070312,119.34969381978362,25200.0,0.0,0.0078125,8.975279515847779e-05,,0.0,0.48132437467575073,0.0019378348281657663,194200.0,50.0,3011.0,58.87978254179916,25100.0,999900,,0.8589511108398438,0.0,0.0
tvc200,7,200.0,/home/users/am1015/rl_runs_td3_tvcap_20260710_td3_tvcap_full30/Walker2d-v4__td3_tvcap_tvc200__7__1783938863/events.out.tfevents.1783938865.linux60.944221.0,327.5472717285156,362.0933532714844,280.1192321777344,0.0,141.6820526123047,149.9825439453125,126.80565152475712,25100.0,141.56785583496094,149.7436981201172,126.80876721685998,25100.0,47.155921936035156,172.90155029296875,40.66014279398854,25100.0,-143.81790161132812,-0.6487374305725098,-129.45021793788268,,141.59632873535156,148.76544189453125,127.13662366768203,25100.0,183.71961975097656,189.39601135253906,166.06274625027422,25100.0,187.42764282226562,192.10316467285156,170.15036777312088,25100.0,141.59632873535156,148.76544189453125,127.13556655477177,25100.0,141.58123779296875,149.26287841796875,126.80677709242805,25100.0,0.0,0.00390625,7.17220997025336e-05,,0.0,0.28165411949157715,0.0010571352138630805,103200.0,50.0,2976.0,58.86080623653708,25100.0,999900,,0.9185980987548829,0.0,0.0
tvc200,8,200.0,/home/users/am1015/rl_runs_td3_tvcap_20260710_td3_tvcap_full30/Walker2d-v4__td3_tvcap_tvc200__8__1783938893/events.out.tfevents.1783938895.linux53.1855396.0,739.2739868164062,1625.595947265625,747.5790153503418,0.0,169.6158447265625,175.91177368164062,141.7912396993834,25100.0,169.61807250976562,175.8737030029297,141.78785301289602,25100.0,45.090293884277344,195.32070922851562,49.72537936770279,25100.0,-172.12533569335938,-0.5469927787780762,-144.61228055688147,,169.70068359375,175.458984375,142.2457926539617,25200.0,200.966552734375,202.24693298339844,174.60680976281083,25100.0,202.7006378173828,205.593505859375,179.70265765096397,25100.0,169.564208984375,175.3312225341797,142.1976817679581,25200.0,169.58233642578125,175.95799255371094,141.78874602852792,25100.0,0.08984375,0.171875,0.026061166529900502,444300.0,0.13020873069763184,0.8726534247398376,0.048110843053266614,114000.0,50.0,3017.0,59.012206380141556,25100.0,999900,,1.004832763671875,1.0,1.0
tvc200,9,200.0,/home/users/am1015/rl_runs_td3_tvcap_20260710_td3_tvcap_full30/Walker2d-v4__td3_tvcap_tvc200__9__1783938893/events.out.tfevents.1783938895.linux54.4026390.0,813.0100402832031,1082.8382568359375,815.3046447753907,0.0,160.66165161132812,170.31678771972656,131.95550070695063,25200.0,160.725830078125,170.1497344970703,131.95899182573268,25200.0,57.30113220214844,207.47598266601562,56.338258721797985,25100.0,-163.48037719726562,-0.4658157527446747,-134.90561684962418,,160.6251678466797,169.435791015625,132.23423093021626,25400.0,200.78884887695312,201.79855346679688,171.82949364934137,25100.0,202.2598114013672,205.90509033203125,175.79206770612026,25100.0,160.49148559570312,169.31396484375,132.21231536647304,25400.0,160.6930694580078,169.88104248046875,131.9633011455644,25200.0,0.08203125,0.16015625,0.014297540132321264,734800.0,0.10524332523345947,0.6168537735939026,0.02191560343481086,170900.0,50.0,3011.0,59.03487537183301,25100.0,999900,,1.0039442443847657,1.0,1.0
tvc200,10,200.0,/home/users/am1015/rl_runs_td3_tvcap_20260710_td3_tvcap_full30/Walker2d-v4__td3_tvcap_tvc200__10__1783938923/events.out.tfevents.1783938925.linux55.1713595.0,539.3132019042969,588.5739135742188,513.6513519287109,0.0,150.24305725097656,159.17657470703125,126.69876066769754,25100.0,150.28201293945312,159.10321044921875,126.70102653770658,25100.0,57.34144973754883,211.96096801757812,46.12087416793153,25100.0,-152.6149444580078,-0.4646185338497162,-129.31108386765223,,150.4090576171875,158.99807739257812,127.01709731002532,25300.0,187.7841796875,191.22909545898438,161.7154506846463,25100.0,191.06011962890625,196.41439819335938,164.64358906420222,25100.0,150.38504028320312,158.99807739257812,127.01559930826463,25300.0,150.32647705078125,159.13418579101562,126.70277977581307,25100.0,0.0,0.01171875,0.00013102305364652786,987700.0,0.0,0.28066539764404297,0.0014979857789001558,221600.0,50.0,2989.0,58.906657093035186,25100.0,999900,,0.9389208984375,0.0,1.0
tvc200,11,200.0,/home/users/am1015/rl_runs_td3_tvcap_20260710_td3_tvcap_full30/Walker2d-v4__td3_tvcap_tvc200__11__1783938983/events.out.tfevents.1783938985.linux51.774201.0,396.5093688964844,654.0679321289062,399.01234741210936,0.0,165.72222900390625,175.4329071044922,138.0164923789528,25400.0,165.73715209960938,175.2396240234375,138.01150387460177,25300.0,50.835113525390625,198.4088134765625,47.976386905612564,25100.0,-168.68072509765625,-0.08271481096744537,-141.03425509804597,,165.6815948486328,173.76058959960938,138.39599508492884,25600.0,200.3861083984375,201.73585510253906,175.58017648840493,25100.0,202.0861358642578,204.27139282226562,178.72906722913265,25100.0,165.6033935546875,173.63818359375,138.36156183607852,25600.0,165.81851196289062,174.25985717773438,138.02238329323708,25400.0,0.06640625,0.13671875,0.023385812006359627,436400.0,0.0823015570640564,0.6041887998580933,0.03443326565140589,144200.0,50.0,2956.0,58.8812185865217,25100.0,999900,,1.0019305419921876,1.0,1.0
tvc200,12,200.0,/home/users/am1015/rl_runs_td3_tvcap_20260710_td3_tvcap_full30/Walker2d-v4__td3_tvcap_tvc200__12__1783939163/events.out.tfevents.1783939165.linux54.4026731.0,1179.90234375,2482.378173828125,1288.6395385742187,0.0,177.3937530517578,184.42764282226562,149.35416094239136,25200.0,177.358154296875,184.2435760498047,149.35091358264233,25200.0,28.755783081054688,155.40724182128906,32.59595270056561,25100.0,-179.41114807128906,-0.4551369547843933,-151.8827264888713,,177.44635009765625,184.82376098632812,149.7056957975645,25400.0,201.80023193359375,202.48291015625,181.77637301059684,25100.0,202.81297302246094,206.72938537597656,186.45437977998205,25100.0,177.1612091064453,184.40011596679688,149.57427767525934,25400.0,177.39169311523438,184.12567138671875,149.34841024330507,25200.0,0.265625,0.36328125,0.10987424992306903,259600.0,0.30248862504959106,0.7803141474723816,0.13141821940038886,85700.0,50.0,2897.0,58.45953431121141,25100.0,999900,,1.0090011596679687,1.0,1.0
tvc200,13,200.0,/home/users/am1015/rl_runs_td3_tvcap_20260710_td3_tvcap_full30/Walker2d-v4__td3_tvcap_tvc200__13__1783939170/events.out.tfevents.1783939173.linux55.1713818.0,902.1261901855469,1000.3934326171875,869.7337280273438,0.0,160.674072265625,169.30044555664062,135.04184016520085,25200.0,160.60479736328125,169.3156280517578,135.04691269274403,25200.0,46.75634765625,161.93804931640625,44.40934009250096,25100.0,-163.17787170410156,-0.3014838993549347,-137.82445475681646,,160.62649536132812,168.88186645507812,135.3688297295401,25300.0,200.4366455078125,201.68992614746094,176.84726421991573,25100.0,202.07028198242188,204.9882354736328,179.360181072988,25100.0,160.5489501953125,168.78282165527344,135.33541659154523,25300.0,160.63937377929688,168.37216186523438,135.05132035870082,25200.0,0.06640625,0.1328125,0.025582351395014875,443100.0,0.08468908071517944,0.5249735713005066,0.03341315049173307,205700.0,50.0,2941.0,58.50794953328546,25100.0,999900,,1.0021832275390625,1.0,1.0
