model_label,mass_scale,mean_return,std_return,n,ci95
tv_a4200,1.5,2597.837648801298,387.0934041755553,5,339.30232882831024
tv_a4200,1.7,2653.686750646736,442.39501355319055,5,387.77632669905495
tv_a4200,2.0,2617.1190076331395,466.08685192010137,5,408.54313865039217
tv_p95,0.5,2902.0330096380653,551.6233523609579,5,483.51918703132503
tv_p95,0.6,2858.195909682066,529.6797793514843,5,464.28479723130727
tv_p95,0.7,2851.206568764321,496.93252655446946,5,435.5805645657531
tv_p95,0.8,2784.5175376824336,478.71902576169197,5,419.61572722044156
tv_p95,0.9,2804.8133978572705,585.1964994395877,5,512.9473479531996
tv_p95,1.0,2824.5561173506894,558.0990830909049,5,489.1954152848541
tv_p95,1.1,2903.9627481650095,580.2125687746945,5,508.57874011055566
tv_p95,1.3,2947.4135031419783,484.91948461329224,5,425.050669034118
tv_p95,1.5,2820.336025504924,557.9518948412466,5,489.06639909561784
tv_p95,1.7,2699.4941978291135,458.66356684186513,5,402.0363423902841
tv_p95,2.0,2875.212024738985,510.5163106147829,5,447.48727626956435
vanilla,0.5,3101.367423770281,823.3618586321825,5,721.7084897049957
vanilla,0.6,3202.8444573117995,795.1774538826555,5,697.0037696942742
vanilla,0.7,3123.2870406969173,695.5736438020157,5,609.6971807522247
vanilla,0.8,3004.879988844731,837.8924197513,5,734.4450880911121
vanilla,0.9,3146.3853548085763,753.6967846484301,5,660.6443599995886
vanilla,1.0,3112.862121203053,644.2990783077919,5,564.7530424791797
vanilla,1.1,3130.5112253423385,817.3265684662775,5,716.4183246276351
vanilla,1.3,3136.874196317474,812.2455094375607,5,711.9645800203624
vanilla,1.5,3211.532966276377,776.6694989538099,5,680.7808319188769
vanilla,1.7,3096.7545096769463,764.5696412217927,5,670.1748389913851
vanilla,2.0,3108.253107131088,838.0872786328644,5,734.6158894315495
