model_label,damping_scale,mean_return,std_return,n,ci95
tv_a4100,1.3,2747.5781208556823,668.7651073699578,5,586.198462495195
tv_a4100,1.5,2745.8594736209097,515.3768778808916,5,451.7477513255263
tv_a4100,1.7,2648.246552334005,697.0565809212696,5,610.9970324485884
tv_a4100,2.0,2627.4830961980747,543.6250158780949,5,476.5083359909465
tv_a4200,0.5,2711.1846385680115,475.3010991705591,5,416.61978247008966
tv_a4200,0.6,2745.3566516372052,378.9837009798788,5,332.19386056014133
tv_a4200,0.7,2701.880230531868,394.8575788775582,5,346.1079280180724
tv_a4200,0.8,2718.0720168876505,438.7767861216599,5,384.6048105210317
tv_a4200,0.9,2626.9939573050137,454.3692770978863,5,398.27223146749833
tv_a4200,1.0,2646.904339054539,473.0200691183976,5,414.6203714739913
tv_a4200,1.1,2665.43547443875,501.2120613990522,5,439.33174224898295
tv_a4200,1.3,2507.641890457759,385.51898717508794,5,337.9222914806235
tv_a4200,1.5,2592.048644859427,290.33044085752016,5,254.4858518643998
tv_a4200,1.7,2632.3357964770994,517.8632361196669,5,453.92714041254703
tv_a4200,2.0,2526.817302482922,416.48261779073897,5,365.063110372245
tv_p95,0.5,2813.7533799371927,408.26675673902855,5,357.8615906405605
tv_p95,0.6,2849.2065914262444,368.8269208573953,5,323.2910502518758
tv_p95,0.7,2861.256871172432,425.3430331385555,5,372.82960685467225
tv_p95,0.8,2806.8557198761405,522.794054509247,5,458.24919329323944
tv_p95,0.9,2850.4099096428663,575.2605792289811,5,504.2381298933068
tv_p95,1.0,2775.57585633366,501.65062043460773,5,439.71615619271734
tv_p95,1.1,2811.5361323147,646.4122542415046,5,566.6053228533693
tv_p95,1.3,2782.4546786463957,543.051210908285,5,476.0053737589642
tv_p95,1.5,2774.413506599943,431.28600421584895,5,378.03885068299246
tv_p95,1.7,2768.787929644187,542.4121096471057,5,475.44517680407904
tv_p95,2.0,2826.9549988916942,565.5733782436084,5,495.74692384662836
vanilla,0.5,3213.0168683227653,817.2152595856859,5,716.3207580920222
vanilla,0.6,3153.5747287902595,834.1752271263758,5,731.1868250963539
vanilla,0.7,3191.048271122128,719.8123287233449,5,630.9433248425868
vanilla,0.8,3132.148501928086,778.2041663516077,5,682.1260272036136
vanilla,0.9,3097.001185608706,796.0974004926298,5,697.8101384512588
vanilla,1.0,3065.515169848573,746.8888731151376,5,654.6769624340758
vanilla,1.1,3194.0216050854397,777.5357639510231,5,681.5401466676335
vanilla,1.3,3084.686734715296,649.5516341683219,5,569.3571106874056
vanilla,1.5,3129.7324171473183,799.674197290537,5,700.9453390777337
vanilla,1.7,3103.3901650762045,657.4073677060136,5,576.2429647351397
vanilla,2.0,3094.216482948434,782.215807611079,5,685.6423858061618
