damping_scale,friction_scale,mass_scale,tv90_delta_mean_from_nominal,tv90_delta_median_from_nominal,tv90_drop_mean_from_nominal,tv90_drop_median_from_nominal,tv90_max_return,tv90_mean_return,tv90_median_return,tv90_min_return,tv90_nominal_mean_return,tv90_nominal_median_return,tv90_std_return,vanilla_delta_mean_from_nominal,vanilla_delta_median_from_nominal,vanilla_drop_mean_from_nominal,vanilla_drop_median_from_nominal,vanilla_max_return,vanilla_mean_return,vanilla_median_return,vanilla_min_return,vanilla_nominal_mean_return,vanilla_nominal_median_return,vanilla_std_return
0.6,0.6,1.3,-1484.5671630859374,-1603.517578125,1484.5671630859374,1603.517578125,4269.576171875,1394.405615234375,1111.9217529296875,279.11236572265625,2878.9727783203125,2715.4393310546875,1142.240366923329,-773.8172973632813,-1435.8389892578125,773.8172973632813,1435.8389892578125,5756.68505859375,2902.300988769531,2390.9080810546875,920.7969970703125,3676.1182861328125,3826.7470703125,1735.8395515723735
0.6,0.6,0.9,-1557.6602691650392,-1514.0162963867188,1557.6602691650392,1514.0162963867188,2547.0869140625,1321.3125091552733,1201.4230346679688,329.1059875488281,2878.9727783203125,2715.4393310546875,709.7058124382315,-58.99656982421857,-1429.85205078125,58.99656982421857,1429.85205078125,11607.4140625,3617.121716308594,2396.89501953125,677.9054565429688,3676.1182861328125,3826.7470703125,3500.422718550225
1.0,0.6,1.1,-1612.5797912597657,-1666.0084533691406,1612.5797912597657,1666.0084533691406,2398.5390625,1266.3929870605468,1049.4308776855469,420.0772705078125,2878.9727783203125,2715.4393310546875,641.8791368051582,-882.7083557128908,-1370.556884765625,882.7083557128908,1370.556884765625,7419.8203125,2793.4099304199217,2456.190185546875,754.3038330078125,3676.1182861328125,3826.7470703125,2079.616152249705
0.6,1.4,1.1,-1023.5152282714844,-789.5459594726562,1023.5152282714844,789.5459594726562,3027.554443359375,1855.4575500488281,1925.8933715820312,977.6847534179688,2878.9727783203125,2715.4393310546875,634.6648435671347,-3.021337890625091,-1321.334228515625,3.021337890625091,1321.334228515625,8278.482421875,3673.0969482421874,2505.412841796875,1776.0152587890625,3676.1182861328125,3826.7470703125,2399.2074365681306
1.4,1.4,1.3,-1166.4026245117188,-1005.5232543945312,1166.4026245117188,1005.5232543945312,2641.93310546875,1712.5701538085937,1709.9160766601562,1199.0457763671875,2878.9727783203125,2715.4393310546875,407.7692429158637,-494.0041809082031,-978.619384765625,494.0041809082031,978.619384765625,5602.70751953125,3182.1141052246094,2848.127685546875,981.1065063476562,3676.1182861328125,3826.7470703125,1605.4486495153483
1.0,0.6,0.9,-1812.1597229003905,-1882.6162719726562,1812.1597229003905,1882.6162719726562,2577.033935546875,1066.813055419922,832.8230590820312,473.06634521484375,2878.9727783203125,2715.4393310546875,675.7759639513897,446.78307495117224,-961.5115966796875,-446.78307495117224,961.5115966796875,11480.400390625,4122.901361083985,2865.2354736328125,940.7581176757812,3676.1182861328125,3826.7470703125,3411.3068765342146
0.6,0.6,0.7,-1507.6610168457032,-1766.3348083496094,1507.6610168457032,1766.3348083496094,5808.28125,1371.3117614746093,949.1045227050781,353.4176025390625,2878.9727783203125,2715.4393310546875,1624.280038007421,-368.1005920410157,-935.44677734375,368.1005920410157,935.44677734375,7663.68701171875,3308.017694091797,2891.30029296875,737.2904663085938,3676.1182861328125,3826.7470703125,2427.0353367679522
1.4,0.6,1.1,-1444.8576721191407,-1218.3626708984375,1444.8576721191407,1218.3626708984375,2293.8720703125,1434.1151062011718,1497.07666015625,578.2034301757812,2878.9727783203125,2715.4393310546875,642.7931857318248,-823.7664184570312,-907.438232421875,823.7664184570312,907.438232421875,5708.7451171875,2852.3518676757812,2919.308837890625,834.2425537109375,3676.1182861328125,3826.7470703125,1444.1407092929264
1.2,0.6,1.1,-1793.2163391113281,-1937.6012878417969,1793.2163391113281,1937.6012878417969,3287.99072265625,1085.7564392089844,777.8380432128906,345.54541015625,2878.9727783203125,2715.4393310546875,909.3683848285509,-555.8548217773437,-845.4832763671875,555.8548217773437,845.4832763671875,7244.04150390625,3120.263464355469,2981.2637939453125,272.9169921875,3676.1182861328125,3826.7470703125,2296.8739891406985
1.2,1.4,0.9,-680.0626342773439,-832.5474243164062,680.0626342773439,832.5474243164062,4637.8916015625,2198.9101440429686,1882.8919067382812,1285.3162841796875,2878.9727783203125,2715.4393310546875,973.2597018329532,887.9336547851562,-800.16650390625,-887.9336547851562,800.16650390625,10913.408203125,4564.051940917969,3026.58056640625,1594.207275390625,3676.1182861328125,3826.7470703125,3332.635705025609
