model_label,seed,cap,event_path,final__charts/episodic_return,max__charts/episodic_return,mean__charts/episodic_return,first_step__charts/episodic_return__ge_0p01,final__charts/episodic_length,max__charts/episodic_length,mean__charts/episodic_length,first_step__charts/episodic_length__ge_0p01,final__eval/episodic_return,max__eval/episodic_return,mean__eval/episodic_return,first_step__eval/episodic_return__ge_0p01,final__losses/qf1_values,max__losses/qf1_values,mean__losses/qf1_values,first_step__losses/qf1_values__ge_0p01,final__losses/qf2_values,max__losses/qf2_values,mean__losses/qf2_values,first_step__losses/qf2_values__ge_0p01,final__losses/qf_loss,max__losses/qf_loss,mean__losses/qf_loss,first_step__losses/qf_loss__ge_0p01,final__losses/actor_loss,max__losses/actor_loss,mean__losses/actor_loss,first_step__losses/actor_loss__ge_0p01,final__targets/min_q_next_mean_pre_clip,max__targets/min_q_next_mean_pre_clip,mean__targets/min_q_next_mean_pre_clip,first_step__targets/min_q_next_mean_pre_clip__ge_0p01,final__targets/min_q_next_p95_pre_clip,max__targets/min_q_next_p95_pre_clip,mean__targets/min_q_next_p95_pre_clip,first_step__targets/min_q_next_p95_pre_clip__ge_0p01,final__targets/min_q_next_p99_pre_clip,max__targets/min_q_next_p99_pre_clip,mean__targets/min_q_next_p99_pre_clip,first_step__targets/min_q_next_p99_pre_clip__ge_0p01,final__targets/min_q_next_mean_post_clip,max__targets/min_q_next_mean_post_clip,mean__targets/min_q_next_mean_post_clip,first_step__targets/min_q_next_mean_post_clip__ge_0p01,final__targets/td_target_mean,max__targets/td_target_mean,mean__targets/td_target_mean,first_step__targets/td_target_mean__ge_0p01,final__robust/td3_q_target_clip_fraction,max__robust/td3_q_target_clip_fraction,mean__robust/td3_q_target_clip_fraction,first_step__robust/td3_q_target_clip_fraction__ge_0p01,final__robust/td3_q_target_excess_mean,max__robust/td3_q_target_excess_mean,mean__robust/td3_q_target_excess_mean,first_step__robust/td3_q_target_excess_mean__ge_0p01,final__charts/SPS,max__charts/SPS,mean__charts/SPS,first_step__charts/SPS__ge_0p01,max_step,training_return_auc,final_q_p95_over_cap,cap_active_final,cap_active_ever
tvc275,20,275.0,/home/users/am1015/rl_runs_td3_tvcap_20260722_walker_v5_full30/Walker2d-v5__td3_tvcap_tvc275__20__1784902842/events.out.tfevents.1784902845.linux50.736162.0,3000.18701171875,3160.027587890625,877.8186790814176,47.0,1000.0,1000.0,335.7102081934184,19.0,2935.3551025390625,2955.4365234375,2934.5528076171877,0.0,235.0814666748047,245.60140991210938,182.41969383295125,25100.0,235.15335083007812,245.36236572265625,182.41613628697164,25100.0,9.883490562438965,121.98660278320312,14.131433142797924,25100.0,-236.7632598876953,-0.6862011551856995,-184.81688014460607,,235.27447509765625,244.8410186767578,183.0486859807003,25100.0,275.6485595703125,276.1414794921875,231.18011324303444,25100.0,276.3415832519531,277.6231689453125,236.07156845399913,25100.0,235.2064208984375,244.7640380859375,183.02690080924944,25100.0,235.14627075195312,244.99095153808594,182.4199203693209,25100.0,0.12890625,0.21875,0.030005080649297362,498500.0,0.08168160915374756,0.14299678802490234,0.021785210714497703,489300.0,48.0,1925.0,55.83075187198687,25100.0,999900,2200.3449979882976,1.0023583984375,1.0,1.0
tvc275,21,275.0,/home/users/am1015/rl_runs_td3_tvcap_20260722_walker_v5_full30/Walker2d-v5__td3_tvcap_tvc275__21__1784903173/events.out.tfevents.1784903176.linux50.736487.0,3927.9786376953125,4502.443359375,1147.64408081809,68.0,1000.0,1000.0,331.8297378028543,23.0,4017.4578857421875,4461.03955078125,3817.1539306640625,0.0,251.456298828125,261.56842041015625,205.61672327570875,25500.0,251.51019287109375,261.04345703125,205.61758165042596,25500.0,17.33888816833496,182.32403564453125,23.14842677220522,25100.0,-253.30078125,-0.3044300675392151,-208.43347944149127,,251.67514038085938,260.7313537597656,206.2947350482853,25500.0,277.2584228515625,277.94134521484375,247.5776345392003,25100.0,278.08343505859375,280.87933349609375,250.89403023225415,25100.0,251.06214904785156,260.04840087890625,205.98184165670048,25500.0,251.41029357910156,260.9847717285156,205.6179452561746,25500.0,0.48828125,0.578125,0.22954237293568572,267900.0,0.6576024293899536,0.8227195739746094,0.3128934184494159,258900.0,47.0,1927.0,53.93096727869525,25100.0,999900,3118.2545571399805,1.0082124467329545,1.0,1.0
tvc275,22,275.0,/home/users/am1015/rl_runs_td3_tvcap_20260722_walker_v5_full30/Walker2d-v5__td3_tvcap_tvc275__22__1784903383/events.out.tfevents.1784903385.linux48.904323.0,4258.755615234375,4749.03173828125,852.117813568178,32.0,1000.0,1000.0,252.05346784363178,32.0,4362.58544921875,4421.6572265625,4343.379296875,0.0,238.28842163085938,249.33438110351562,182.51512058397893,25500.0,238.27877807617188,249.53695678710938,182.5180476737735,25400.0,19.236202239990234,220.29119873046875,20.287736431332412,25100.0,-240.6171875,-0.25510743260383606,-185.51183221149486,,238.40542602539062,249.75750732421875,183.1352283709964,25500.0,277.8171081542969,279.20745849609375,237.84883509897148,25100.0,279.5653381347656,283.2412109375,244.58537234999648,25100.0,237.94003295898438,249.29165649414062,183.01290051536748,25500.0,238.27114868164062,249.7969970703125,182.52175575858774,25500.0,0.234375,0.33203125,0.05866867755667248,470500.0,0.45267724990844727,0.703102707862854,0.1223278424473026,442900.0,50.0,1918.0,57.170068724997435,25100.0,999900,2108.2261911149208,1.0102440296519886,1.0,1.0
tvc275,23,275.0,/home/users/am1015/rl_runs_td3_tvcap_20260722_walker_v5_full30/Walker2d-v5__td3_tvcap_tvc275__23__1784903713/events.out.tfevents.1784903716.linux48.904718.0,3862.0595703125,4107.03955078125,1037.0744905317397,24.0,1000.0,1000.0,326.21482206986616,24.0,3953.04345703125,3996.492919921875,3642.0418334960937,0.0,248.76339721679688,257.8900146484375,198.11884374919075,25700.0,248.63641357421875,258.752685546875,198.11514915436268,25700.0,9.485751152038574,92.4859619140625,14.216444820002469,25100.0,-250.50289916992188,0.12302187830209732,-200.7240578035577,25100.0,248.9287567138672,258.5550537109375,198.74116382526546,25600.0,276.92242431640625,277.5479736328125,244.69415946510532,25200.0,277.7340393066406,279.4713134765625,248.871570466811,25200.0,248.52606201171875,258.1636962890625,198.61059779183765,25600.0,248.6660919189453,258.7879638671875,198.114502744877,25700.0,0.34765625,0.4609375,0.11555552172017643,330100.0,0.39077234268188477,0.5449124574661255,0.13056615884884382,319800.0,50.0,1928.0,57.12544876397579,25100.0,999900,2595.5636851789473,1.006990633877841,1.0,1.0
tvc275,24,275.0,/home/users/am1015/rl_runs_td3_tvcap_20260722_walker_v5_full30/Walker2d-v5__td3_tvcap_tvc275__24__1784905334/events.out.tfevents.1784905337.linux49.681864.0,3648.3253173828125,4018.33837890625,841.6502042971383,12.0,1000.0,1000.0,280.03921568627453,12.0,3551.728759765625,3605.482177734375,3557.365380859375,0.0,233.42770385742188,245.5211181640625,179.34680486057655,25300.0,233.4623565673828,245.24822998046875,179.3408357290692,25300.0,15.675985336303711,104.42588806152344,18.816636622037652,25100.0,-235.7127227783203,-0.3174313008785248,-182.09449451178364,,233.69183349609375,244.39175415039062,179.98112731798395,25400.0,276.4665222167969,277.0875549316406,235.20652067164147,25100.0,277.24700927734375,279.40008544921875,239.53316438387392,25100.0,233.48031616210938,244.0936737060547,179.90242759739212,25400.0,233.4395294189453,244.3271942138672,179.34264904950209,25300.0,0.23828125,0.33984375,0.07312448712688481,447300.0,0.23609745502471924,0.36684370040893555,0.07869979399560671,425900.0,48.0,1946.0,56.60929326084727,25100.0,999900,2161.849783081657,1.0053328080610795,1.0,1.0
tvc275,25,275.0,/home/users/am1015/rl_runs_td3_tvcap_20260722_walker_v5_full30/Walker2d-v5__td3_tvcap_tvc275__25__1784905965/events.out.tfevents.1784905967.linux55.545178.0,893.2488403320312,2620.644287109375,475.2810568237865,51.0,273.0,1000.0,175.76300984528834,18.0,1238.760009765625,1368.390869140625,1203.34130859375,0.0,187.50279235839844,201.59141540527344,151.45804525238617,25300.0,187.56182861328125,201.9039764404297,151.4607310813089,25200.0,9.066607475280762,78.36918640136719,12.250368032891046,25100.0,-189.3815155029297,-0.3268621563911438,-153.9423831585909,,187.7425537109375,201.8801727294922,152.10040379430026,25400.0,249.97288513183594,257.5984191894531,204.53439755486653,25100.0,255.5786895751953,264.54449462890625,209.5896981754374,25100.0,187.7425537109375,201.8801727294922,152.10040379430026,25400.0,187.57269287109375,201.74693298339844,151.46214593364937,25300.0,0.0,0.0,0.0,,0.0,0.0,0.0,,50.0,2398.0,57.9672786952508,25100.0,999900,636.5728922562721,0.9089923095703125,0.0,0.0
tvc275,26,275.0,/home/users/am1015/rl_runs_td3_tvcap_20260722_walker_v5_full30/Walker2d-v5__td3_tvcap_tvc275__26__1784906025/events.out.tfevents.1784906027.gpu-compute4.1309736.0,4027.8677978515625,4422.06591796875,1159.095527810759,20.0,1000.0,1000.0,336.38458950201886,20.0,4036.7930908203125,4293.20703125,3594.6152099609376,0.0,245.83523559570312,257.9333801269531,196.54627334570412,25300.0,245.87155151367188,257.80364990234375,196.54638807802738,25200.0,22.571834564208984,301.65399169921875,29.423356569057727,25100.0,-247.64767456054688,-0.19223949313163757,-199.41025457329073,,245.73451232910156,257.2689208984375,197.00356186347872,25300.0,277.51629638671875,278.3641357421875,245.9092172889914,25100.0,278.64508056640625,282.6607360839844,250.80559371299458,25100.0,245.16275024414062,256.516357421875,196.73338920435634,25300.0,245.8154754638672,256.9109191894531,196.5488290366278,25200.0,0.40625,0.51171875,0.17087369537901323,301100.0,0.5921728610992432,0.8687295913696289,0.2701727496084647,242500.0,48.0,1903.0,54.97168940404144,25100.0,999900,2975.9222369858853,1.0091501686789772,1.0,1.0
tvc275,27,275.0,/home/users/am1015/rl_runs_td3_tvcap_20260722_walker_v5_full30/Walker2d-v5__td3_tvcap_tvc275__27__1784906655/events.out.tfevents.1784906658.gpu-compute4.1310403.0,1466.7763671875,2973.658935546875,717.111111180065,17.0,416.0,1000.0,246.88666666666666,17.0,3037.426025390625,3510.59619140625,2897.1059814453124,0.0,210.34689331054688,223.7524871826172,164.63393399157607,25100.0,210.4191131591797,224.29969787597656,164.62725609159392,25200.0,13.639520645141602,87.643310546875,19.075218637516585,25100.0,-212.440185546875,-0.48296061158180237,-167.4625671355495,,210.44512939453125,224.64840698242188,165.12798789771338,25300.0,275.92083740234375,277.0145263671875,232.91958232565298,25100.0,277.1640625,278.94482421875,242.42335353208904,25100.0,210.3164825439453,224.49127197265625,165.09266193066208,25300.0,210.3125,223.86514282226562,164.62518586839187,25200.0,0.09765625,0.16796875,0.028349862806441688,450700.0,0.11362123489379883,0.22717070579528809,0.03532593783897942,430000.0,47.0,1927.0,55.58877833623961,25100.0,999900,1105.940316679386,1.0033484996448863,1.0,1.0
tvc275,28,275.0,/home/users/am1015/rl_runs_td3_tvcap_20260722_walker_v5_full30/Walker2d-v5__td3_tvcap_tvc275__28__1784906685/events.out.tfevents.1784906687.gpu-compute4.1310534.0,3631.2841796875,3978.49755859375,1095.55660310343,45.0,1000.0,1000.0,340.1586113002042,45.0,3540.8609619140625,3611.91455078125,3546.3121826171873,0.0,249.1339569091797,259.291259765625,204.4480600932758,25600.0,249.14231872558594,259.27777099609375,204.4540177636874,25600.0,14.769145965576172,117.7740478515625,18.433009612241126,25100.0,-250.951904296875,0.028247909620404243,-207.11130594895843,25100.0,249.34921264648438,259.13726806640625,205.11176060534558,25600.0,276.7478942871094,277.1856384277344,244.89544635375046,25200.0,277.3267822265625,279.19744873046875,248.47341156109462,25100.0,248.90744018554688,258.6105651855469,204.8965389041089,25600.0,249.17489624023438,259.4100036621094,204.4469815896447,25600.0,0.40234375,0.5234375,0.19973843471125244,280500.0,0.43241214752197266,0.5653018951416016,0.21522172986207735,266900.0,48.0,1952.0,55.80746743255718,25100.0,999900,2846.8290870602314,1.0063559792258523,1.0,1.0
tvc275,29,275.0,/home/users/am1015/rl_runs_td3_tvcap_20260722_walker_v5_full30/Walker2d-v5__td3_tvcap_tvc275__29__1784906985/events.out.tfevents.1784906988.linux47.958133.0,4163.216796875,4688.07080078125,734.6976336937344,74.0,1000.0,1000.0,230.7119113573407,10.0,4074.6138916015625,4286.47021484375,4008.869091796875,0.0,232.2198028564453,248.11199951171875,172.02066426824064,25300.0,232.21633911132812,248.0165557861328,172.02245011391915,25400.0,15.985107421875,122.94195556640625,13.111188935494424,25100.0,-234.6578369140625,-0.3167964518070221,-174.53991580164754,,232.58453369140625,247.71803283691406,172.6901449675262,25400.0,277.274169921875,278.2784118652344,221.52090045886018,25100.0,278.61590576171875,280.639404296875,225.3957187072343,25100.0,232.24899291992188,247.31497192382812,172.61961002790753,25400.0,232.1290283203125,248.14309692382812,172.0232271960557,25300.0,0.2109375,0.3125,0.04397566417068417,627200.0,0.34395456314086914,0.5265129804611206,0.07053484711503723,616900.0,46.0,1798.0,52.666222176633504,25100.0,999900,1798.7483001821317,1.0082697088068182,1.0,1.0
tvc275,30,275.0,/home/users/am1015/rl_runs_td3_tvcap_20260722_walker_v5_full30/Walker2d-v5__td3_tvcap_tvc275__30__1784907230/events.out.tfevents.1784907233.linux53.648968.0,3786.534912109375,4063.263427734375,971.1468291957653,12.0,1000.0,1000.0,312.006864274571,12.0,3796.534423828125,3859.551025390625,3787.89765625,0.0,248.04693603515625,256.8577575683594,194.3352505168152,25400.0,248.05279541015625,256.92767333984375,194.33420769088758,25100.0,8.495613098144531,66.9939193725586,12.958453474946742,25100.0,-249.85549926757812,-0.3401024341583252,-197.01671493431888,,248.3385009765625,256.822265625,195.0510063779038,25400.0,276.66485595703125,277.1959228515625,242.24440155611404,25100.0,277.35009765625,279.3327941894531,245.69860220360187,25100.0,247.9681396484375,256.37994384765625,194.9109960367991,25400.0,248.045654296875,257.10626220703125,194.3335456506231,25100.0,0.37890625,0.49609375,0.13533920145655964,358300.0,0.3749021291732788,0.5623323917388916,0.14001026272419134,343400.0,50.0,2358.0,57.996717612062774,25100.0,999981,2665.1921210938535,1.0060540216619318,1.0,1.0
