env_id,axis,stress_factor,seed,best_model,best_return,vanilla_return,best_minus_vanilla,num_models_above_vanilla
Walker2d-v4,damping,0.5,27,tvc275,737.0270032000672,505.3797344379158,231.64726876215138,5
Walker2d-v4,damping,0.5,28,tvc300,900.950992073403,868.9693926813982,31.981599392004796,1
Walker2d-v4,damping,0.5,29,tvc250,879.3031408620434,481.54141116841873,397.76172969362466,4
Walker2d-v4,damping,0.5,30,vanilla,3030.379663570647,3030.379663570647,0.0,0
Walker2d-v4,foot_left_actuator_gain,0.5,1,vanilla,2494.566914317903,2494.566914317903,0.0,0
Walker2d-v4,foot_left_actuator_gain,0.5,2,tvc250,3130.6270176158987,597.1244081752847,2533.502609440614,2
Walker2d-v4,foot_left_actuator_gain,0.5,3,vanilla,3082.3892783446927,3082.3892783446927,0.0,0
Walker2d-v4,foot_left_actuator_gain,0.5,4,tvc275,2989.609634626403,264.85136273934285,2724.7582718870603,7
Walker2d-v4,foot_left_actuator_gain,0.5,5,tvc275,715.6163174565032,181.9783840689981,533.6379333875051,6
Walker2d-v4,foot_left_actuator_gain,0.5,6,vanilla,1009.2728702925656,1009.2728702925656,0.0,0
Walker2d-v4,foot_left_actuator_gain,0.5,7,tvc300,957.3290147472628,221.27417590691115,736.0548388403516,7
Walker2d-v4,foot_left_actuator_gain,0.5,8,tvc300,760.9945835407914,480.0554096274217,280.9391739133697,3
Walker2d-v4,foot_left_actuator_gain,0.5,9,tvc100,445.8539981297369,249.7074243054101,196.14657382432682,5
Walker2d-v4,foot_left_actuator_gain,0.5,10,tvc225,608.9411251727954,328.92210265613846,280.01902251665695,5
Walker2d-v4,foot_left_actuator_gain,0.5,11,tvc300,638.8458230417953,636.2997873842036,2.5460356575916876,1
Walker2d-v4,foot_left_actuator_gain,0.5,12,tvc250,2973.4947967084345,287.9067704957518,2685.5880262126825,6
Walker2d-v4,foot_left_actuator_gain,0.5,13,tvc250,535.8658108487546,305.17140547396696,230.6944053747876,6
Walker2d-v4,foot_left_actuator_gain,0.5,14,tvc250,779.4078753046432,238.80138951052373,540.6064857941194,7
Walker2d-v4,foot_left_actuator_gain,0.5,15,tvc300,716.0642657422397,638.2668120362855,77.79745370595424,1
Walker2d-v4,foot_left_actuator_gain,0.5,16,tvc225,536.4651536002922,286.292946918541,250.17220668175116,5
Walker2d-v4,foot_left_actuator_gain,0.5,17,tvc300,1614.305264627297,855.175612728978,759.129651898319,1
Walker2d-v4,foot_left_actuator_gain,0.5,18,tvc300,624.9656002795326,513.4005427080368,111.5650575714958,1
Walker2d-v4,foot_left_actuator_gain,0.5,19,vanilla,527.6178513806418,527.6178513806418,0.0,0
Walker2d-v4,foot_left_actuator_gain,0.5,20,tvc225,532.4831904536211,306.63989418677875,225.84329626684234,7
Walker2d-v4,foot_left_actuator_gain,0.5,21,vanilla,832.8721255574234,832.8721255574234,0.0,0
Walker2d-v4,foot_left_actuator_gain,0.5,22,tvc275,778.6696101602429,730.4062695909921,48.26334056925077,1
Walker2d-v4,foot_left_actuator_gain,0.5,23,tvc250,692.6675764690839,691.5213541436738,1.1462223254101218,1
Walker2d-v4,foot_left_actuator_gain,0.5,24,tvc300,745.427300777846,418.6473879574908,326.77991282035515,2
Walker2d-v4,foot_left_actuator_gain,0.5,25,tvc250,742.8338421729036,544.008069862351,198.82577231055257,3
Walker2d-v4,foot_left_actuator_gain,0.5,26,tvc200,608.3305244792377,364.2164236706206,244.11410080861714,5
Walker2d-v4,foot_left_actuator_gain,0.5,27,tvc300,424.4621355687588,178.29936758035237,246.16276798840644,7
Walker2d-v4,foot_left_actuator_gain,0.5,28,tvc200,819.0306628503134,612.6756716514727,206.3549911988407,3
Walker2d-v4,foot_left_actuator_gain,0.5,29,tvc250,787.4662916754642,459.5483164699992,327.917975205465,3
Walker2d-v4,foot_left_actuator_gain,0.5,30,tvc100,406.522020025186,355.82982093306447,50.69219909212154,1
Walker2d-v4,foot_left_damping,0.5,1,vanilla,2800.737803486656,2800.737803486656,0.0,0
Walker2d-v4,foot_left_damping,0.5,2,tvc275,3444.968192696536,1682.669139680297,1762.299053016239,4
Walker2d-v4,foot_left_damping,0.5,3,tvc250,2783.239182792965,1759.3908305112986,1023.8483522816664,2
Walker2d-v4,foot_left_damping,0.5,4,tvc275,2764.3215876119366,406.398004866596,2357.9235827453404,6
Walker2d-v4,foot_left_damping,0.5,5,tvc250,866.6563450546413,445.6228413358952,421.0335037187461,5
Walker2d-v4,foot_left_damping,0.5,6,tvc275,1525.1630564538314,1352.088204855773,173.07485159805833,1
Walker2d-v4,foot_left_damping,0.5,7,tvc275,2166.231719194181,1560.2722651563176,605.9594540378635,2
Walker2d-v4,foot_left_damping,0.5,8,tvc200,1021.3928142818992,643.6033108252539,377.7895034566453,3
Walker2d-v4,foot_left_damping,0.5,9,tvc225,1054.53994761613,762.8947327350168,291.64521488111313,3
Walker2d-v4,foot_left_damping,0.5,10,vanilla,692.7690966517602,692.7690966517602,0.0,0
Walker2d-v4,foot_left_damping,0.5,11,tvc225,797.7481289897062,625.3073504207891,172.44077856891704,3
Walker2d-v4,foot_left_damping,0.5,12,tvc275,3122.817325135794,2330.180824632292,792.6365005035018,4
Walker2d-v4,foot_left_damping,0.5,13,tvc200,870.1726371022847,435.9858943764834,434.18674272580137,6
Walker2d-v4,foot_left_damping,0.5,14,tvc250,1013.2491245210024,446.8821308138221,566.3669937071803,5
Walker2d-v4,foot_left_damping,0.5,15,tvc300,3208.599635691112,3190.6049051722207,17.994730518891174,1
