env_id,model_label,threshold,survival,baseline_survival,survival_delta
Walker2d-v5,klprho0,0.6950000000000001,0.6903730158730159,0.6903730158730159,0.0
Walker2d-v5,klprho0,0.7000000000000001,0.6898095238095239,0.6898095238095239,0.0
Walker2d-v5,klprho0,0.705,0.6886666666666666,0.6886666666666666,0.0
Walker2d-v5,klprho0,0.71,0.6871190476190476,0.6871190476190476,0.0
Walker2d-v5,klprho0,0.715,0.6859603174603175,0.6859603174603175,0.0
Walker2d-v5,klprho0,0.72,0.6847222222222222,0.6847222222222222,0.0
Walker2d-v5,klprho0,0.725,0.6839047619047619,0.6839047619047619,0.0
Walker2d-v5,klprho0,0.73,0.6823650793650794,0.6823650793650794,0.0
Walker2d-v5,klprho0,0.735,0.6809920634920635,0.6809920634920635,0.0
Walker2d-v5,klprho0,0.74,0.6797142857142857,0.6797142857142857,0.0
Walker2d-v5,klprho0,0.745,0.6784047619047618,0.6784047619047618,0.0
Walker2d-v5,klprho0,0.75,0.6772698412698412,0.6772698412698412,0.0
Walker2d-v5,klprho0,0.755,0.6750952380952381,0.6750952380952381,0.0
Walker2d-v5,klprho0,0.76,0.6738333333333333,0.6738333333333333,0.0
Walker2d-v5,klprho0,0.765,0.6716984126984127,0.6716984126984127,0.0
Walker2d-v5,klprho0,0.77,0.6701984126984126,0.6701984126984126,0.0
Walker2d-v5,klprho0,0.775,0.6681111111111111,0.6681111111111111,0.0
Walker2d-v5,klprho0,0.78,0.6674206349206349,0.6674206349206349,0.0
Walker2d-v5,klprho0,0.785,0.6661587301587302,0.6661587301587302,0.0
Walker2d-v5,klprho0,0.79,0.6650238095238096,0.6650238095238096,0.0
Walker2d-v5,klprho0,0.795,0.6632539682539683,0.6632539682539683,0.0
Walker2d-v5,klprho0,0.8,0.6609047619047619,0.6609047619047619,0.0
Walker2d-v5,klprho0,0.805,0.6597698412698413,0.6597698412698413,0.0
Walker2d-v5,klprho0,0.81,0.6575873015873016,0.6575873015873016,0.0
Walker2d-v5,klprho0,0.8150000000000001,0.6557698412698413,0.6557698412698413,0.0
Walker2d-v5,klprho0,0.8200000000000001,0.6537619047619048,0.6537619047619048,0.0
Walker2d-v5,klprho0,0.8250000000000001,0.6522777777777777,0.6522777777777777,0.0
Walker2d-v5,klprho0,0.8300000000000001,0.6510238095238094,0.6510238095238094,0.0
Walker2d-v5,klprho0,0.835,0.6482857142857144,0.6482857142857144,0.0
Walker2d-v5,klprho0,0.84,0.645515873015873,0.645515873015873,0.0
Walker2d-v5,klprho0,0.845,0.6427619047619048,0.6427619047619048,0.0
Walker2d-v5,klprho0,0.85,0.6394047619047619,0.6394047619047619,0.0
Walker2d-v5,klprho0,0.855,0.6367777777777778,0.6367777777777778,0.0
Walker2d-v5,klprho0,0.86,0.6330238095238095,0.6330238095238095,0.0
Walker2d-v5,klprho0,0.865,0.6309126984126985,0.6309126984126985,0.0
Walker2d-v5,klprho0,0.87,0.6268809523809524,0.6268809523809524,0.0
Walker2d-v5,klprho0,0.875,0.6232857142857143,0.6232857142857143,0.0
Walker2d-v5,klprho0,0.88,0.6124603174603174,0.6124603174603174,0.0
Walker2d-v5,klprho0,0.885,0.6061825396825398,0.6061825396825398,0.0
Walker2d-v5,klprho0,0.89,0.5997380952380953,0.5997380952380953,0.0
Walker2d-v5,klprho0,0.895,0.5968730158730159,0.5968730158730159,0.0
Walker2d-v5,klprho0,0.9,0.593,0.593,0.0
Walker2d-v5,klprho0,0.905,0.5885317460317461,0.5885317460317461,0.0
Walker2d-v5,klprho0,0.91,0.5855476190476191,0.5855476190476191,0.0
Walker2d-v5,klprho0,0.915,0.5809206349206348,0.5809206349206348,0.0
Walker2d-v5,klprho0,0.92,0.5756825396825397,0.5756825396825397,0.0
Walker2d-v5,klprho0,0.925,0.571579365079365,0.571579365079365,0.0
Walker2d-v5,klprho0,0.93,0.5608809523809524,0.5608809523809524,0.0
Walker2d-v5,klprho0,0.935,0.552936507936508,0.552936507936508,0.0
Walker2d-v5,klprho0,0.9400000000000001,0.5457777777777778,0.5457777777777778,0.0
Walker2d-v5,klprho0,0.9450000000000001,0.5403968253968254,0.5403968253968254,0.0
Walker2d-v5,klprho0,0.9500000000000001,0.5303015873015873,0.5303015873015873,0.0
Walker2d-v5,klprho0,0.9550000000000001,0.5138174603174603,0.5138174603174603,0.0
Walker2d-v5,klprho0,0.96,0.49857142857142855,0.49857142857142855,0.0
Walker2d-v5,klprho0,0.965,0.48790476190476195,0.48790476190476195,0.0
Walker2d-v5,klprho0,0.97,0.47938888888888886,0.47938888888888886,0.0
Walker2d-v5,klprho0,0.975,0.4689285714285714,0.4689285714285714,0.0
Walker2d-v5,klprho0,0.98,0.4549603174603175,0.4549603174603175,0.0
Walker2d-v5,klprho0,0.985,0.4467460317460318,0.4467460317460318,0.0
Walker2d-v5,klprho0,0.99,0.4383968253968254,0.4383968253968254,0.0
Walker2d-v5,klprho0,0.995,0.4278253968253968,0.4278253968253968,0.0
Walker2d-v5,klprho0,1.0,0.4167142857142857,0.4167142857142857,0.0
Walker2d-v5,klprho0p05,0.0,0.9955,0.9976349206349207,-0.0021349206349206397
Walker2d-v5,klprho0p05,0.005,0.9851031746031745,0.988984126984127,-0.0038809523809523903
Walker2d-v5,klprho0p05,0.01,0.9793650793650794,0.985111111111111,-0.005746031746031749
Walker2d-v5,klprho0p05,0.015,0.9742380952380951,0.9799761904761904,-0.005738095238095237
Walker2d-v5,klprho0p05,0.02,0.9684761904761905,0.9770238095238095,-0.008547619047619043
Walker2d-v5,klprho0p05,0.025,0.9604444444444444,0.9721428571428572,-0.01169841269841269
Walker2d-v5,klprho0p05,0.03,0.9549444444444445,0.9696746031746031,-0.014730158730158715
Walker2d-v5,klprho0p05,0.035,0.9511507936507936,0.967095238095238,-0.015944444444444445
Walker2d-v5,klprho0p05,0.04,0.9444365079365079,0.9633492063492064,-0.018912698412698402
Walker2d-v5,klprho0p05,0.045,0.9372222222222222,0.956936507936508,-0.01971428571428572
Walker2d-v5,klprho0p05,0.05,0.9292777777777778,0.9502619047619048,-0.020984126984126994
Walker2d-v5,klprho0p05,0.055,0.9211507936507937,0.944484126984127,-0.023333333333333334
Walker2d-v5,klprho0p05,0.06,0.915,0.9377063492063492,-0.022706349206349195
Walker2d-v5,klprho0p05,0.065,0.907611111111111,0.9318015873015874,-0.024190476190476186
Walker2d-v5,klprho0p05,0.07,0.8983809523809525,0.9256904761904762,-0.02730952380952381
Walker2d-v5,klprho0p05,0.075,0.8903412698412698,0.918047619047619,-0.027706349206349196
Walker2d-v5,klprho0p05,0.08,0.8847460317460317,0.9113730158730158,-0.026626984126984117
Walker2d-v5,klprho0p05,0.085,0.8769841269841271,0.9043095238095239,-0.02732539682539683
Walker2d-v5,klprho0p05,0.09,0.8677539682539683,0.8977619047619048,-0.0300079365079365
Walker2d-v5,klprho0p05,0.095,0.8609761904761906,0.8913253968253969,-0.030349206349206365
Walker2d-v5,klprho0p05,0.1,0.8535555555555556,0.885047619047619,-0.031492063492063495
Walker2d-v5,klprho0p05,0.105,0.8473095238095238,0.8794365079365078,-0.03212698412698413
Walker2d-v5,klprho0p05,0.11,0.8418968253968254,0.8752301587301587,-0.03333333333333333
Walker2d-v5,klprho0p05,0.115,0.8357857142857142,0.8710000000000001,-0.0352142857142857
Walker2d-v5,klprho0p05,0.12,0.830547619047619,0.8667857142857143,-0.03623809523809525
Walker2d-v5,klprho0p05,0.125,0.8263412698412699,0.8637222222222223,-0.03738095238095239
Walker2d-v5,klprho0p05,0.13,0.8217063492063492,0.8591031746031745,-0.037396825396825414
Walker2d-v5,klprho0p05,0.135,0.817452380952381,0.8554841269841269,-0.038031746031746035
Walker2d-v5,klprho0p05,0.14,0.8132301587301587,0.8522460317460319,-0.03901587301587304
Walker2d-v5,klprho0p05,0.145,0.810873015873016,0.8491031746031746,-0.03823015873015874
Walker2d-v5,klprho0p05,0.15,0.8077460317460318,0.8464126984126985,-0.038666666666666655
Walker2d-v5,klprho0p05,0.155,0.8048571428571428,0.8437539682539683,-0.038896825396825395
Walker2d-v5,klprho0p05,0.16,0.8016587301587302,0.8411349206349206,-0.039476190476190456
Walker2d-v5,klprho0p05,0.165,0.7986349206349207,0.8391904761904762,-0.04055555555555555
Walker2d-v5,klprho0p05,0.17,0.7962222222222223,0.8365634920634921,-0.04034126984126983
