env_id,axis,model_label,comparison,reliability_auc_delta,catastrophe_recovery_area,catastrophe_harm_area,dominance_threshold_fraction,strict_improvement_threshold_fraction,worst_survival_delta,worst_survival_delta_threshold,max_survival_delta,max_survival_delta_threshold
Walker2d-v5,mass_damping,klprho0,klprho0_minus_vanilla,0.030178571428571433,0.030190476190476195,1.1904761904761863e-05,0.9950248756218906,0.9900497512437811,-0.004761904761904745,0.0,0.09047619047619047,1.0
Walker2d-v5,mass_damping,klprho0p05,klprho0p05_minus_vanilla,-0.03772023809523809,0.0008214285714285727,0.03854166666666666,0.0845771144278607,0.05472636815920398,-0.08571428571428574,0.8250000000000001,0.03571428571428571,0.995
Walker2d-v5,mass_damping,vanilla,vanilla_minus_vanilla,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Walker2d-v5,thigh_left_actuator_gain,klprho0,klprho0_minus_vanilla,-0.006005555555555556,0.003972222222222219,0.009977777777777775,0.27860696517412936,0.24378109452736318,-0.03111111111111109,0.5750000000000001,0.062222222222222234,1.0
Walker2d-v5,thigh_left_actuator_gain,klprho0p05,klprho0p05_minus_vanilla,-0.047338888888888896,7.222222222222244e-05,0.04741111111111111,0.04477611940298507,0.024875621890547265,-0.11333333333333329,0.845,0.011111111111111072,1.0
Walker2d-v5,thigh_left_actuator_gain,vanilla,vanilla_minus_vanilla,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Walker2d-v5,thigh_left_damping,klprho0,klprho0_minus_vanilla,0.006083333333333332,0.012483333333333329,0.006399999999999997,0.7164179104477612,0.15920398009950248,-0.033333333333333326,0.63,0.20222222222222225,1.0
Walker2d-v5,thigh_left_damping,klprho0p05,klprho0p05_minus_vanilla,-0.09795000000000001,5.000000000000009e-05,0.098,0.029850746268656716,0.004975124378109453,-0.2711111111111111,0.87,0.020000000000000018,1.0
Walker2d-v5,thigh_left_damping,vanilla,vanilla_minus_vanilla,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Walker2d-v5,thigh_left_mass,klprho0,klprho0_minus_vanilla,0.000857142857142852,0.008488095238095236,0.007630952380952383,0.472636815920398,0.1890547263681592,-0.0357142857142857,0.8,0.15714285714285714,0.99
Walker2d-v5,thigh_left_mass,klprho0p05,klprho0p05_minus_vanilla,-0.08494047619047619,0.00026190476190476235,0.08520238095238095,0.029850746268656716,0.01990049751243781,-0.18571428571428572,0.84,0.01904761904761909,1.0
Walker2d-v5,thigh_left_mass,vanilla,vanilla_minus_vanilla,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
